id,arc de triomphe,arc de triomphe du carrousel,arènes de lutèce,assemblée nationale,av des champs-Élysées,basilique de st-denis,basilique du sacré-cœur,bateaux mouches,bibliothèque nationale de france,bois de boulogne,bois de vincennes,bourse de commerce,catacombes de paris,centre pompidou,champs-Élysées,chapelle expiatoire,cimetière de montmartre,cimetière du père lachaise,cinémathèque française,cité de la musique,cité des sciences et de lindustrie,conciergerie,dalí espace,eiffel tower,fondation cartier pour lart contemporain,forum des halles,gare montparnasse,grand palais,grande arche de la défense,hôtel de ville,hôtel des invalides,institut de france,institut du monde arabe,jardin des plantes,jardin des tuileries,jardin du luxembourg,jardin du palais royal,jeu de paume,la seine,maison de balzac,maison de victor hugo,maison européenne de la photographie,manufacture des gobelins,mosquée de paris,musée atelier zadkine,musée bourdelle,musée carnavalet,musée cernuschi,musée cognacq-jay,musée dapper,musée dart moderne de la ville de paris,musée dart naïf max fourny,musée de la chasse et de la nature,musée de la contrefaçon,musée de la curiosité et de la magie,musée de la monnaie de paris,musée de la poste,musée de la vie romantique,musée de lassistance publique-hôpitaux de paris,musée de lorangerie,musée de lÉrotisme,musée de montmartre,musée des arts et métiers,musée des arts forains,musée des Égouts de paris,musée dorsay,musée du fumeur,musée du louvre,musée du luxembourg,musée du montparnasse,musée du quai branly,musée du vin,musée galliera de la mode de la ville de paris,musée grévin,musée guimet des arts asiatiques,musée jacquemart-andré,musée marmottan-monet,musée national dhistoire naturelle,musée national du moyen age,musée national eugène delacroix,musée nissim de camondo,musée picasso,musée rodin,musée Édith piaf,mémorial des martyrs de la déportation,palais de la découverte,palais de tokyo,panthéon,parc de belleville,parc de bercy,parc de la villette,parc des buttes-chaumont,parc du champ de mars,petit palais,place de la bastille,place de la concorde,place de la madeleine,place des vosges,place du tertre,place vendôme,pletzl,pont neuf,promenade plantée,quartier latin,sainte chapelle,sorbonne,stade de france,tour montparnasse,viaduc des arts,Église st-eustache,Église st-germain des prés,Église st-germain lauxerrois,Église st-sulpice,Église st-Étienne du mont
panthéon,18,9,4,10,17,31,26,15,11,22,18,11,14,10,17,16,23,26,12,22,24,4,26,14,9,8,15,11,31,7,15,6,5,7,9,4,12,11,12,18,13,10,7,6,6,16,12,20,12,22,16,19,10,23,8,5,11,19,7,11,21,27,11,12,13,9,15,9,5,10,14,17,15,14,15,17,23,8,3,9,19,13,13,18,6,12,14,0,21,11,22,22,14,11,9,10,13,13,26,13,14,6,12,3,4,3,26,10,12,14,8,10,6,2
parc de belleville,25,22,21,23,26,26,23,28,20,26,19,17,31,13,26,19,19,16,20,15,15,18,23,27,28,15,32,23,33,17,28,19,19,16,22,22,18,23,14,31,14,20,21,19,24,32,13,22,14,31,28,16,13,28,17,18,28,20,16,23,18,23,12,20,26,22,8,18,21,27,27,29,26,14,27,22,30,17,18,23,22,13,26,6,20,24,26,19,0,19,14,6,27,23,13,21,21,13,23,19,16,17,14,17,18,18,21,27,14,15,22,19,20,22
parc de bercy,23,14,9,15,22,21,28,20,2,18,9,17,18,12,22,21,27,16,1,13,15,10,27,20,16,13,21,17,26,8,20,11,6,4,14,14,18,16,14,23,11,9,9,7,16,23,10,25,13,21,21,23,11,19,7,10,21,24,9,16,25,29,15,2,18,14,10,14,13,19,20,22,20,18,21,22,18,4,10,15,25,11,19,15,8,18,19,10,18,0,13,18,20,17,7,15,18,11,28,19,13,11,6,9,10,10,17,19,6,19,14,15,12,9
parc de la villette,17,24,22,25,20,13,20,21,15,12,12,22,27,18,20,22,17,14,16,2,1,23,20,22,27,20,30,22,20,22,28,24,19,17,23,27,22,23,20,21,22,22,22,20,29,33,21,17,21,17,20,13,20,15,19,23,31,19,21,23,16,21,15,14,21,25,19,23,26,29,22,24,19,18,19,19,16,17,23,28,17,22,25,17,20,22,20,23,13,14,0,6,22,22,20,22,22,22,21,22,24,22,19,22,23,23,8,30,19,20,27,23,26,22
parc des buttes-chaumont,22,24,23,25,24,18,19,26,18,17,15,19,30,15,24,19,16,10,20,6,8,20,19,26,29,17,33,23,24,19,29,21,22,19,23,24,19,23,17,26,16,21,25,22,26,35,15,22,16,22,25,12,15,19,21,21,30,17,19,23,15,20,12,17,26,24,13,20,24,29,27,29,24,15,24,22,21,20,20,26,21,16,27,11,22,25,25,21,6,17,4,0,26,23,15,21,21,16,19,19,18,19,17,19,20,20,13,29,17,17,24,21,23,23
parc du champ de mars,5,6,15,6,7,24,24,5,18,8,25,10,15,15,7,11,19,31,19,21,20,14,20,1,11,13,9,4,18,11,3,10,15,17,5,12,10,5,16,4,18,13,16,18,12,9,16,12,16,8,3,19,14,10,13,10,10,15,11,5,18,22,15,19,3,8,22,7,11,8,1,4,3,12,3,8,9,18,14,11,12,17,4,23,15,4,3,15,26,17,21,24,0,5,15,4,7,17,21,9,18,8,19,12,14,13,19,9,19,15,10,8,12,16
petit palais,6,4,12,3,5,26,18,4,16,11,22,7,18,12,5,7,14,30,16,23,22,10,15,5,12,10,14,1,19,9,6,8,11,13,3,11,7,3,14,8,15,11,17,15,11,14,13,8,13,10,5,16,12,12,10,7,11,12,8,3,14,17,12,16,4,5,19,5,10,10,5,6,4,10,5,5,12,14,10,8,7,14,4,21,12,2,3,11,24,15,23,22,5,0,13,2,5,14,16,7,16,6,16,9,10,10,21,10,16,12,7,5,9,12
place de la bastille,23,13,9,15,22,25,24,19,6,21,13,15,20,9,22,17,21,19,7,17,19,9,24,19,15,10,24,16,30,5,19,10,6,3,14,13,15,15,10,23,5,6,9,6,15,24,4,20,7,25,20,17,6,23,4,10,20,18,6,15,19,24,9,7,18,13,6,13,13,19,19,22,20,12,20,20,22,4,10,15,20,5,18,9,7,17,18,9,12,5,17,14,19,16,0,15,18,4,24,17,7,9,5,9,9,9,21,18,5,13,13,14,12,9
place de la concorde,8,3,11,2,7,27,19,7,15,12,21,6,16,11,7,6,12,29,15,23,22,9,15,6,10,9,15,3,20,8,7,7,10,12,1,10,6,1,13,10,14,10,16,13,9,15,12,8,12,12,8,13,11,14,9,6,11,10,7,1,12,17,11,15,5,3,18,4,8,10,6,9,8,6,7,7,15,13,9,6,8,13,5,20,10,4,5,10,23,14,20,19,6,3,12,0,2,13,16,4,15,5,15,8,9,9,22,10,15,11,5,4,7,11
place de la madeleine,10,7,14,6,10,24,16,10,19,14,25,10,20,13,10,4,11,31,19,22,21,13,13,10,14,13,19,6,22,11,11,11,14,16,4,14,8,4,15,13,18,14,20,17,13,18,16,6,16,13,11,14,14,15,13,10,15,10,11,4,12,15,11,19,9,7,21,7,12,14,10,12,11,7,11,6,18,17,13,10,6,17,9,20,14,7,8,13,23,18,21,19,10,6,16,3,0,17,13,5,18,8,19,11,13,12,19,14,19,13,9,8,11,15
place des vosges,23,17,12,18,23,28,23,22,9,25,16,14,23,8,23,16,20,20,10,20,23,12,24,22,18,13,27,19,33,9,23,13,9,7,17,16,15,18,9,26,1,9,12,9,18,27,3,20,6,27,24,17,5,26,7,13,23,18,9,18,19,24,9,10,21,17,8,16,16,22,22,25,23,12,23,20,25,7,13,18,19,4,21,9,10,20,21,12,12,8,21,14,22,19,3,18,18,0,24,16,6,12,8,12,12,13,24,21,8,13,16,16,15,12
place du tertre,16,20,28,19,18,20,8,20,28,18,25,21,33,20,18,12,10,27,30,18,17,25,4,22,27,22,30,16,25,24,22,24,27,27,17,27,18,17,22,24,24,26,33,30,26,30,23,12,23,20,20,9,22,20,25,23,28,12,24,17,10,1,17,27,20,20,25,19,25,26,21,22,19,16,19,14,22,28,26,23,12,24,20,24,27,18,20,27,22,27,18,18,22,16,24,16,15,24,0,17,26,21,29,25,25,25,16,27,29,22,22,21,24,28
place vendôme,12,9,15,9,12,27,18,12,18,17,25,7,22,10,12,5,11,29,19,21,21,12,14,13,17,11,21,8,25,11,13,10,14,16,7,16,5,7,12,16,16,13,20,18,16,21,14,9,14,16,14,12,13,18,13,10,18,8,11,7,11,16,9,19,12,10,18,5,15,17,13,15,13,5,14,9,21,17,13,13,9,14,12,17,14,10,11,14,21,17,19,17,13,8,15,6,5,15,14,0,16,8,19,12,12,13,22,17,19,11,12,8,14,15
pletzl,20,11,6,12,19,28,26,17,9,24,15,14,20,7,19,18,23,22,9,19,21,7,26,17,16,8,21,14,33,3,17,8,5,7,12,11,14,13,9,21,10,1,12,8,13,22,8,22,8,24,18,19,7,25,3,7,17,20,4,13,21,27,11,9,16,11,12,11,10,16,17,20,18,14,18,19,25,8,7,12,21,9,16,15,5,15,16,8,17,8,19,19,17,14,6,13,16,9,26,16,0,7,9,6,7,7,23,16,9,14,11,12,10,7
pont neuf,14,4,7,6,13,29,22,10,10,17,17,5,16,7,13,11,17,24,11,23,22,4,20,10,10,5,15,7,26,3,10,1,7,9,5,7,6,6,8,14,10,5,12,10,8,15,8,15,8,17,11,15,6,19,5,1,11,15,3,6,16,23,7,11,9,4,14,4,5,10,10,13,11,8,11,13,18,10,5,6,15,9,9,15,7,8,9,6,19,9,21,18,10,7,7,6,9,9,20,9,10,0,11,4,4,5,25,10,11,9,4,5,4,7
promenade plantée,25,16,11,17,24,28,25,22,9,24,15,16,23,10,24,18,22,19,9,20,21,12,25,22,18,13,27,19,33,8,22,13,8,6,16,16,17,18,12,26,6,9,11,9,18,27,6,21,9,28,23,18,7,25,6,12,23,20,9,18,21,26,11,9,21,16,7,16,15,22,22,24,22,14,23,21,25,6,12,17,21,6,21,10,10,20,21,12,13,8,20,15,22,19,3,18,20,6,25,18,9,12,0,11,12,12,23,21,1,14,16,17,15,11
quartier latin,17,8,3,9,16,28,25,14,9,21,16,11,14,9,16,15,22,23,10,20,22,3,25,14,9,7,15,11,30,5,13,5,2,4,8,5,12,10,10,18,11,8,8,6,7,16,10,19,10,21,15,18,8,23,5,4,11,18,5,10,20,26,10,10,12,8,13,8,5,10,13,16,14,13,14,16,22,5,1,8,19,11,12,15,2,11,13,2,18,8,20,20,14,11,6,9,12,11,25,13,12,5,10,0,3,1,24,11,10,13,6,9,4,3
sainte chapelle,15,6,7,7,14,29,22,12,10,19,16,9,18,6,14,13,19,24,10,22,22,1,22,12,12,4,17,9,28,3,12,3,6,8,7,8,10,8,8,16,9,5,12,9,10,17,7,17,7,19,13,15,6,21,4,2,13,16,2,8,17,22,6,11,11,6,13,6,7,12,12,15,13,10,13,14,20,9,4,7,17,8,11,15,6,10,11,5,18,9,20,18,12,9,7,8,11,9,22,11,10,1,10,4,0,4,24,12,10,10,6,7,6,7
sorbonne,18,9,5,10,17,32,26,14,12,21,19,11,13,10,17,15,23,26,13,23,26,4,26,14,9,8,15,11,30,7,14,5,6,7,9,4,12,11,12,18,14,9,8,7,6,16,11,19,11,22,16,19,10,23,8,5,11,19,7,11,21,26,10,13,13,9,16,8,4,10,14,17,15,14,15,17,22,8,3,9,19,12,13,19,6,12,13,1,21,12,24,22,15,11,10,10,13,13,26,13,14,5,13,3,4,0,27,10,13,14,7,9,5,3
stade de france,16,23,27,23,18,6,18,20,20,11,17,27,29,26,18,20,18,19,21,9,9,27,18,21,31,28,30,21,18,26,27,28,24,21,22,31,26,22,28,20,29,26,26,24,30,33,28,16,30,16,19,17,28,13,24,28,31,20,26,22,20,19,23,18,20,24,23,24,29,31,21,23,18,24,18,18,15,22,27,27,16,29,24,22,25,21,19,27,19,18,9,14,21,21,24,21,21,28,18,23,31,25,23,27,27,27,0,31,23,28,26,25,28,27
tour montparnasse,16,10,12,10,15,32,28,13,18,17,23,14,7,16,15,16,23,31,19,27,29,10,25,13,5,14,7,10,26,13,8,11,12,14,11,7,14,11,18,16,20,15,11,14,7,10,17,17,17,20,14,25,16,18,14,11,5,21,13,11,23,27,16,19,10,10,22,11,6,3,12,16,13,18,13,15,18,15,10,9,17,18,7,25,12,11,12,9,27,18,27,28,9,10,16,11,14,19,25,15,20,11,19,9,10,10,27,0,19,19,8,12,7,11
viaduc des arts,25,16,11,17,24,28,25,22,9,24,15,16,23,10,24,18,22,20,9,20,21,12,25,22,18,13,27,19,33,8,22,13,8,6,16,16,17,18,12,26,6,9,11,9,18,27,6,21,9,28,23,18,7,25,6,12,23,20,9,18,21,26,11,9,21,16,7,16,15,22,22,24,22,14,23,21,25,6,12,17,21,6,21,10,10,20,21,12,13,8,20,15,22,19,3,18,20,6,25,18,9,12,1,11,12,12,23,21,0,14,16,17,15,11
Église st-eustache,16,12,12,13,16,29,21,17,16,21,22,4,23,6,16,10,14,27,16,23,22,9,17,17,18,5,22,14,29,8,18,8,11,13,12,14,4,14,6,21,11,11,17,15,15,22,9,13,9,20,19,14,8,22,10,8,19,11,8,14,13,19,6,16,16,12,16,5,13,18,17,20,17,5,18,13,25,14,10,13,13,10,16,15,11,15,16,11,18,15,20,18,17,14,13,12,12,11,17,10,12,6,16,9,9,10,24,18,16,0,12,6,12,12
Église st-germain des prés,14,5,7,6,13,33,24,10,13,17,20,7,15,12,13,12,17,27,14,24,26,5,20,10,10,10,14,7,26,9,11,6,7,8,5,7,8,7,14,14,15,11,12,10,8,14,13,16,13,18,12,18,12,19,9,5,11,15,8,7,17,22,12,14,9,5,17,5,5,9,10,13,11,11,11,13,18,9,5,1,15,14,9,20,7,8,9,6,22,13,24,24,10,7,11,6,9,14,21,9,16,6,14,4,5,5,28,10,14,12,0,5,4,8
Église st-germain lauxerrois,17,7,9,9,16,31,22,13,12,20,19,3,19,8,16,11,15,26,13,24,24,6,19,13,14,7,18,10,29,5,14,4,8,10,8,10,4,9,8,17,12,7,14,12,11,18,10,15,9,20,15,15,8,22,7,4,15,13,5,9,15,20,9,13,12,7,16,1,8,13,13,16,14,7,14,15,21,11,7,9,14,11,12,17,8,11,12,8,20,11,22,20,13,10,9,9,12,11,19,11,12,2,13,6,6,6,26,14,13,8,7,0,8,9
Église st-sulpice,16,7,8,8,15,33,27,12,14,19,20,9,12,12,15,14,19,28,15,25,27,6,22,12,7,10,12,9,29,9,9,6,7,9,7,4,10,9,14,16,16,11,10,11,4,12,13,18,13,20,14,21,12,21,10,6,8,17,8,9,19,24,12,15,11,7,17,7,2,7,12,15,13,13,13,15,20,10,5,3,17,14,7,20,7,10,11,5,23,13,25,24,9,9,11,8,11,14,23,11,16,7,14,5,6,6,28,7,14,14,2,7,0,7
Église st-Étienne du mont,18,9,2,11,17,29,26,15,10,22,17,12,14,11,17,16,23,24,11,21,23,5,27,15,9,9,16,12,31,7,15,6,3,5,10,5,13,11,13,19,12,9,7,4,7,17,11,20,12,22,16,20,10,24,6,6,12,19,7,11,22,27,11,11,14,9,14,9,5,11,15,18,16,14,16,18,23,6,4,10,20,12,14,16,4,13,14,1,19,9,21,21,15,12,7,11,14,12,27,14,14,6,10,4,5,3,25,11,10,15,8,10,6,0
