id,arc de triomphe,arc de triomphe du carrousel,arènes de lutèce,assemblée nationale,av des champs-Élysées,basilique de st-denis,basilique du sacré-cœur,bateaux mouches,bibliothèque nationale de france,bois de boulogne,bois de vincennes,bourse de commerce,catacombes de paris,centre pompidou,champs-Élysées,chapelle expiatoire,cimetière de montmartre,cimetière du père lachaise,cinémathèque française,cité de la musique,cité des sciences et de lindustrie,conciergerie,dalí espace,eiffel tower,fondation cartier pour lart contemporain,forum des halles,gare montparnasse,grand palais,grande arche de la défense,hôtel de ville,hôtel des invalides,institut de france,institut du monde arabe,jardin des plantes,jardin des tuileries,jardin du luxembourg,jardin du palais royal,jeu de paume,la seine,maison de balzac,maison de victor hugo,maison européenne de la photographie,manufacture des gobelins,mosquée de paris,musée atelier zadkine,musée bourdelle,musée carnavalet,musée cernuschi,musée cognacq-jay,musée dapper,musée dart moderne de la ville de paris,musée dart naïf max fourny,musée de la chasse et de la nature,musée de la contrefaçon,musée de la curiosité et de la magie,musée de la monnaie de paris,musée de la poste,musée de la vie romantique,musée de lassistance publique-hôpitaux de paris,musée de lorangerie,musée de lÉrotisme,musée de montmartre,musée des arts et métiers,musée des arts forains,musée des Égouts de paris,musée dorsay,musée du fumeur,musée du louvre,musée du luxembourg,musée du montparnasse,musée du quai branly,musée du vin,musée galliera de la mode de la ville de paris,musée grévin,musée guimet des arts asiatiques,musée jacquemart-andré,musée marmottan-monet,musée national dhistoire naturelle,musée national du moyen age,musée national eugène delacroix,musée nissim de camondo,musée picasso,musée rodin,musée Édith piaf,mémorial des martyrs de la déportation,palais de la découverte,palais de tokyo,panthéon,parc de belleville,parc de bercy,parc de la villette,parc des buttes-chaumont,parc du champ de mars,petit palais,place de la bastille,place de la concorde,place de la madeleine,place des vosges,place du tertre,place vendôme,pletzl,pont neuf,promenade plantée,quartier latin,sainte chapelle,sorbonne,stade de france,tour montparnasse,viaduc des arts,Église st-eustache,Église st-germain des prés,Église st-germain lauxerrois,Église st-sulpice,Église st-Étienne du mont
musée de la vie romantique,14,14,22,13,14,25,13,16,24,18,30,13,27,15,14,7,6,29,25,21,20,18,9,17,21,16,25,12,25,17,17,16,21,23,11,21,10,11,17,19,20,19,27,25,21,25,19,10,18,17,16,8,17,20,19,16,22,0,17,11,6,11,13,25,16,14,22,11,20,21,17,18,15,8,16,10,22,24,19,18,10,19,16,21,21,13,14,20,21,23,19,17,18,12,21,10,10,19,9,9,21,14,25,19,18,18,20,21,25,16,16,13,19,21
musée de lassistance publique-hôpitaux de paris,17,8,6,9,16,29,22,14,10,21,16,10,17,6,16,14,19,24,10,23,22,4,22,14,12,4,18,11,30,3,14,5,6,7,8,8,10,10,8,18,9,5,12,9,10,18,7,18,7,21,15,15,6,23,4,4,14,16,0,10,17,22,7,11,12,8,13,8,7,13,14,16,14,10,15,16,22,8,4,9,17,8,13,16,6,12,13,5,18,9,20,18,14,11,7,9,12,9,22,13,10,3,10,3,4,4,24,13,10,10,8,9,6,6
musée de lorangerie,8,4,12,4,7,27,19,7,16,13,23,8,17,12,7,6,13,30,17,23,23,10,16,8,12,10,16,3,21,9,8,8,11,13,1,11,8,1,14,11,16,11,17,15,11,16,13,9,13,12,9,14,12,14,11,8,13,10,9,0,13,18,11,17,7,4,19,5,10,11,8,9,8,7,8,7,16,14,10,8,9,14,7,20,11,5,6,11,23,15,21,19,8,3,13,1,2,15,16,4,16,6,16,9,10,10,23,12,16,12,6,6,9,12
musée de lÉrotisme,11,15,22,14,13,21,9,15,25,15,25,14,28,16,13,7,2,27,26,19,18,20,5,17,22,17,25,11,22,18,17,18,22,24,12,22,12,12,18,19,21,20,28,25,21,25,20,7,20,15,15,6,19,17,20,17,23,5,18,12,0,6,13,27,15,15,22,12,20,21,16,17,14,9,14,9,20,25,21,18,7,20,15,21,22,13,15,22,19,25,16,15,17,11,21,11,10,20,5,10,22,15,25,20,20,20,16,22,25,17,17,15,19,23
musée de montmartre,14,18,26,18,17,19,6,19,27,17,24,20,31,19,17,11,8,26,28,17,16,23,3,20,26,20,29,15,24,22,20,22,25,26,16,25,17,16,20,23,23,25,31,29,25,29,22,11,22,18,18,8,21,19,24,22,26,10,22,16,8,0,15,25,19,19,24,18,24,25,20,21,18,15,18,13,21,26,24,22,10,23,19,23,25,16,18,25,21,25,17,17,20,15,22,15,14,22,3,16,25,20,27,23,23,24,14,25,27,20,21,20,23,26
musée des arts et métiers,18,13,11,14,18,26,19,18,14,23,21,7,22,3,18,11,16,22,15,20,19,8,19,18,17,5,22,15,31,7,19,9,10,12,13,12,8,15,5,22,9,9,16,14,14,23,7,15,7,22,20,12,6,24,9,9,19,13,7,15,15,20,0,15,17,13,11,8,12,17,18,21,19,7,19,15,26,13,9,14,15,7,17,10,10,16,17,10,13,14,18,15,18,15,9,14,13,8,19,11,9,8,14,8,8,8,22,18,14,5,12,9,11,11
musée des arts forains,23,15,11,17,24,22,28,21,4,18,9,18,18,13,24,22,28,16,5,13,15,11,28,21,17,14,21,18,27,10,21,12,8,5,16,15,19,17,15,24,12,10,11,8,17,23,12,26,14,21,22,25,13,19,8,12,22,25,10,17,27,29,17,0,20,15,12,15,15,20,21,24,22,20,22,24,19,6,12,17,26,12,20,16,9,19,20,11,20,2,13,18,21,18,8,17,20,12,28,20,15,12,7,11,11,11,17,20,7,20,15,16,14,11
musée des Égouts de paris,7,7,14,5,6,27,22,4,20,11,26,10,19,15,6,11,17,33,20,24,23,12,19,4,13,13,15,4,20,11,7,11,13,15,5,13,10,5,16,8,18,14,19,16,12,15,16,11,16,11,5,19,15,13,13,10,13,16,11,5,18,21,15,21,0,6,23,7,11,11,4,7,4,12,5,8,12,16,12,9,11,17,6,24,13,3,4,13,27,19,24,25,4,4,17,5,8,17,19,9,18,9,20,11,12,12,22,12,20,15,8,8,10,14
musée dorsay,13,3,10,4,12,32,23,9,16,16,22,7,16,12,12,10,16,29,16,26,26,9,19,9,11,10,15,6,26,8,9,8,10,12,4,10,7,6,13,13,15,11,15,13,10,15,13,15,13,17,11,17,11,18,10,7,12,13,8,6,16,21,12,16,8,0,19,4,8,11,9,12,10,11,10,12,17,13,9,6,14,14,7,21,10,7,8,10,24,15,24,22,8,6,13,5,8,14,19,8,15,5,16,8,9,8,27,11,16,12,5,5,7,11
musée du fumeur,25,21,16,22,26,28,26,26,15,27,17,17,27,13,26,19,23,14,14,20,20,16,26,26,22,15,31,23,34,14,27,17,13,11,21,20,17,22,14,30,9,14,16,13,22,31,8,22,11,29,28,19,10,29,12,17,27,21,14,22,21,27,11,15,25,21,0,18,20,26,26,29,26,14,27,22,30,11,17,22,22,9,25,5,14,24,25,16,8,13,19,13,26,23,8,22,21,9,26,19,11,17,8,16,16,17,23,25,8,15,20,19,19,16
